P1009|空气流量传感器1/2 - 难以置信负荷检测信号
P1606|恶劣路况信号 - 电路故障
P1607|车速传感器(VSS) - 电路故障
P1608|动力转向压力开关 - 电路故障
P1609|发动机控制模块 - 碰撞关断启动
P1610|发动机控制模块 - 缺陷
P1611|故障指示灯(MIL)/变速器控制模块(TCU) - 电路故障
P1612|发动机控制模块(ECM) - 不正确的程序
P1613|故障指示灯(MIL) - 电路故障
P1614|故障指示灯(MIL)/变速器控制模块(TCU) - 范围/性能
P1615|机油温度传感器 - 电路范围/性能
P1616|电热塞/加热器指示灯电路 - 短路到正极
P1617|电热塞/加热器指示灯电路 - 开路/短路到接地
P1618|电热塞/加热器继电器电路 - 短路到正极
P1619|电热塞/加热器继电器电路 - 开路/短路到接地
P1620|发动机冷却液温度信号 - 开路/短路到正极
P1621|发动机冷却液温度信号 - 短路到接地
P1622|发动机冷却液温度信号 - 范围/性能
P1623|CAN数据总线 - 无信号
P1624|故障指示灯(MIL)请求信号当前有效
P1625|CAN数据总线, 变速器控制模块(TCU) - 不正确信号
P1626|CAN数据总线, 变速器控制模块(TCU) - 无信号
P1627|CAN数据总线, 燃油喷射泵 - 无信号
P1628|CAN数据总线, 操舵位置传感器 - 无信号
P1629|CAN数据总线, 定速巡航控制 - 无信号
P1630|节气门位置/加速器踏板位置传感器 1/2 - 低输入
P1631|节气门位置/加速器踏板位置传感器 1/2 - 高输入
P1632|加速器踏板位置传感器 - 电源电压
P1633|加速器踏板位置传感器2 - 低输入
P1634|加速器踏板位置传感器2 - 高输入
P1635|CAN数据总线, 空调 - 无信号
P1636|CAN数据总线, 安全气囊控制 - 无信号
P1637|CAN数据总线, 中央电子控制 - 无信号
P1638|CAN数据总线, 离合器控制 - 无信号
P1639|节气门位置/油门踏板位置传感器1/2 - 范围/性能
P1640|发动机控制模块(ECM) - 电子可删除可编程只读存储器(EEPROM)错误
P1641|空调控制模块 - 系统故障
P1642|安全气囊控制模块 - 系统故障
P1643|多功能控制模块 - 系统故障
P1644|离合器控制模块 - 系统故障
P1645|CAN数据总线, 四轮驱动 - 无信号
P1646|全时四轮驱动(AWD)控制模块 - 系统故障
P1647|CAN数据总线, 发动机控制模块(ECM)编码
P1648|CAN数据总线 - 缺陷
P1649|CAN数据总线, 防抱死刹车(ABS) - 无信号
P1650|CAN数据总线, 仪表盘 - 无信号
P1651|CAN数据总线, 动力总成 - 无信号
P1652|变速器控制模块(TCU) - 系统故障
P1653|ABS控制模块 - 系统故障
P1654|仪表盘控制模块 - 系统故障
P1655|定速巡航控制模块 - 系统故障
P1656|空调离合器继电器电路 - 短路到接地
P1657|空调离合器继电器电路 - 短路到正极
P1658|CAN数据总线, 定速巡航控制 - 错误信号
P1659|发动机冷却液风扇电机, 速度1 - 短路到正极
P1660|发动机冷却液风扇电机, 速度1 - 短路到接地
P1661|发动机冷却液风扇电机, 速度2 - 短路到正极
P1662|发动机冷却液风扇电机, 速度2 - 短路到接地
P1663|喷油器, 激活 - 短路到正极
P1664|喷油器, 激活 - 电流电路
P1665|喷油器 - 机械故障
P1666|喷油器1 - 电路开路/短路到接地
P1667|喷油器2 - 电路开路/短路到接地
P1668|喷油器3 - 电路开路/短路到接地
P1669|喷油器4 - 电路开路/短路到接地
P1672|发动机冷却液风扇电机, 速度1 - 电路开路/短路到接地
P1674|CAN数据总线, 仪表盘 - 不正确的信号
P1676|ETS(电子节气门系统)告警灯 - 电路故障
P1677|ETS(电子节气门系统)告警灯 - 短路到正极
P1678|ETS(电子节气门系统)告警灯 - 短路到接地
P1679|ETS(电子节气门系统)告警灯 - 电路开路
P1680|跛行回家模式 - 当前有效
P1681|发动机控制模块(ECM) - 程序不完全
P1682|CAN数据总线, 防抱死刹车(ABS) - 难以置信信号
P1683|CAN数据总线, 安全气囊 - 难以置信信号
P1684|发动机控制模块(ECM) - 编程通信错误
P1686|发动机控制模块(ECM) - 编程错误
P1687|CAN数据总线, 空调控制模块 - 难以置信信号
P1690|故障指示灯(MIL) - 电路故障
P1691|故障指示灯(MIL) - 电路开路
P1692|故障指示灯(MIL) - 短路到接地
P1693|故障指示灯(MIL) - 短路到正极
P1694|故障指示灯(MIL) - 开路/短路到接地
P1696|CAN数据总线, 转向柱电子系统 - 错误信号
P1698|转向柱电子系统
P1699|发动机控制模块(ECM) - 用于定速巡航程序
P1702|变速器控制模块(TCU) - 故障
P1745|变速器控制模块(TCU)继电器 - 短路到正极
P1746|变速器控制模块(TCU)继电器 - 故障
P1747|变速器控制模块(TCU)继电器 - 开路/短路到接地
P1748|变速器控制模块(TCU) - 自检错误
P1749|变速器控制模块(TCU) - 不正确的程序
P1750|变速器控制模块(TCU), 电源电压低
P1751|变速器控制模块(TCU), 电源电压高
P1752|变速器控制模块(TCU), 电源故障
P1778|自动变速器, 电磁阀7 - 电路故障
P1780|转矩缩减 - 故障
P1823|压力控制电磁阀3 - 电子故障
P1824|压力控制电磁阀3 - 电子故障
P1841|发动机/变速器控制模块 - 程序不匹配
P1842|仪表盘控制模块
P1845|转向柱电子系统控制模块
P1847|防抱死刹车(ABS)控制模块
P1848|发动机控制模块(ECM)
P1850|CAN数据总线, 发动机控制模块(ECM) - 丢失信息
P1851|CAN数据总线, 防抱死刹车(ABS) - 不正确信号
P1853|CAN数据总线, 防抱死刹车(ABS) - 不正确信号
P1854|CAN数据总线, 防抱死刹车(ABS) - 硬件缺陷
P1856|发动机控制模块(ECM) - 节气门/加速踏板位置传感器 - A电路故障
P1857|发动机控制模块(ECM) - 不正确的负荷信号
P1861|发动机控制模块(ECM) - 加速踏板位置传感器/节气门位置传感器信号故障
P1862|CAN数据总线, 仪表盘 - 丢失信息
P1863|CAN数据总线, 转向位置传感器 - 丢失信息
P1865|CAN数据总线, 发动机控制模块 - 丢失信息
P1866|CAN数据总线 - 丢失信息
P1867|CAN数据总线 - 丢失信息
P1900|发动机冷却液风扇电机, 速度2 - 电路开路/短路到接地
P1901|发动机冷却液风扇电机运行继电器 - 短路到正极
P1902|发动机冷却液风扇电机运行继电器 - 电路开路/短路到接地
P1903|发动机冷却液液压风扇电机电磁阀 - 短路到正极
P1904|发动机冷却液液压风扇电机电磁阀 - 电路开路/短路到接地
P1905|增压空气冷却液泵继电器 - 短路到正极
P1906|增压空气冷却液泵继电器 - 电路开路/短路到接地
P1907|数据总线, 发动机控制模块1/2 - 缺陷
P1908|数据总线, 发动机控制模块1/2 - 软件版本监视
P1909|数据总线, 发动机控制模块1/2 - 没有来自发动机控制模块1的信号
P1910|数据总线, 发动机控制模块1/2 - 没有来自发动机控制模块2的信号
P1911|数据总线, 发动机控制模块1/2 - 电路故障
P1912|刹车伺服压力传感器 - 电路开路/短路到正极
P1913|刹车伺服压力传感器 - 短路到接地
P1914|刹车伺服压力传感器 - 范围/性能问题
P1915|发动机控制模块(ECM) - 发动机冷却系统程序是为炎热气候状况编写
P1916|发动机冷却液泵继电器 - 短路到接地
P1917|发动机冷却泵继电器 - 电路开路
P1920|发动机悬置控制电磁阀- 电路开路/短路到地 (第1/2排)
P1923|发动机控制模块(ECM) 2 - 故障
P1924|发动机控制模块(ECM) 1/2, 针编码 - 难以置信信号
P1925|发动机冷却液泵继电器 - 短路到正极
P1926|发动机冷却液泵继电器 - 短路到接地
P1927|发动机冷却液泵继电器 - 电路开路
P1931|发动机冷却液风扇控制模块 - 故障
P1953|涡轮增压器控制模块 2 - 故障
P1954|电热赛控制模块 2 - 电路故障
P1955|电热赛控制模块 2 - 发动机控制模块(ECM)通讯 - 范围/性能
P1996|凸轮轴位置, 进气 (第1排)
P1998|凸轮轴位置, 进气 (第2排)
P1999|凸轮轴位置, 排气 (第2排)
