P1000|可变气门正时(VVT)控制电路 - 适应值太高
P16B0|发动机控制模块(ECM)自检 - 加速踏板位置监视故障
P16B1|发动机控制模块(ECM)自检 - 怠速空气控制系统故障
P16B2|发动机控制模块(ECM)自检 - 怠速空气控制系统故障
P16B3|发动机控制模块(ECM)自检 - 转矩控制监视故障
P16B4|发动机控制模块(ECM)自检 - 定速巡航距离监视故障
P16B5|发动机控制模块(ECM)自检 - 自动手动变速器监视故障
P16B6|发动机控制模块(ECM)自检 - 电子节气门控制监视故障
P16B7|发动机控制模块(ECM)自检 - 液力变矩器离合器监视故障
P16B8|发动机控制模块(ECM)自检 - 液力变矩器离合器监视故障
P16B9|发动机控制模块(ECM)自检 - 扭矩丢失监视故障
P16C0|发动机控制模块(ECM)自检 - 电子稳定系统监视故障
P16C1|发动机控制模块(ECM)自检 - 扭矩监视故障
P16C2|发动机控制模块(ECM)自检 - 发动机速度限制监视故障
P16C3|发动机控制模块(ECM)自检 - 发动机速度限制错误
P16C5|主继电器 - 切换继电器
P16C6|CAN界面超时
P16C8|燃油泵电路 - 无信号
P1721|CAN数据总线监视 - 电子节气门控制超时
